productType,variantId,sku,prices,tax,categories,description.en-US,images,name.en-US,slug.en-US,metaTitle.en-US,metaDescription.en-US,metaKeywords.en-US,designer,material,arrangement
main,1,12,USD 39500,standard,tables,"Made from durable and lightweight materials, these tables are designed to withstand the rigors of everyday use while providing a sleek and contemporary aesthetic. Their smooth, non-porous surfaces are easy to clean and maintain, making them ideal for busy households or workplaces.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--3R91K1LV.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--G7Xy_PBh.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--sFnXetIQ.jpg;,Black soul table,table-black-soul,Black soul table,"Made from durable and lightweight materials, these tables are designed to withstand the rigors of everyday use while providing a sleek and contemporary aesthetic. Their smooth, non-porous surfaces are easy to clean and maintain, making them ideal for busy households or workplaces.",basic;,Orthanc tower plastics,plastic,house
main,1,13,USD 27800,standard,tables,"Modern plastic tables are a versatile and stylish addition to any home or office. Made from durable and lightweight materials, these tables are designed to withstand the rigors of everyday use while providing a sleek and contemporary aesthetic.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--XqJ_wNFG.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--BWFSbJGO.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--aYMgi38V.jpg;,Blumarin table,table-blumarin,Blumarin table,"Modern plastic tables are a versatile and stylish addition to any home or office. Made from durable and lightweight materials, these tables are designed to withstand the rigors of everyday use while providing a sleek and contemporary aesthetic.",basic;,Orthanc tower plastics,plastic,house
main,1,14,USD 10999,standard,armchairs,"Made from durable and easy-to-clean plastic, this chair is perfect for everyday use",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--_kAzHqLE.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--dw727tNE.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--AMjsaZE2.jpg;,Folke,armchair-folke,Folke,"Made from durable and easy-to-clean plastic, this chair is perfect for everyday use",basic;,Orthanc tower plastics,plastic,house
main,1,15,USD 2999,standard,armchairs,This modern plastic armchair is a stylish and comfortable addition to any home or office.,https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--O2RsPqbd.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--s2iACOSA.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--3J8fAvM8.jpg;,Foty,armchair-foty,Foty,This modern plastic armchair is a stylish and comfortable addition to any home or office.,basic;,Orthanc tower plastics,plastic,house
main,1,16,USD 11999,standard,chairs,"Introducing the epitome of modern sophistication, our stunning wooden armchair. Crafted from the finest solid wood, this chair exudes a timeless elegance that complements any contemporary living space.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--zY6GZZ7D.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_16--vM_aByGs.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_16--XBvy2GD2.jpg;,Dorka,armchair-dorka,Dorka,"Introducing the epitome of modern sophistication, our stunning wooden armchair. Crafted from the finest solid wood, this chair exudes a timeless elegance that complements any contemporary living space.",basic;,Fangorn Planks,wooden,house
main,1,17,USD 9999,standard,chairs,"The ergonomic design provides ample support for your back and neck, while the contoured seat ensures a comfortable sitting experience.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--r-Q3wjA0.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--RlxEMgWo.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--hCwt9BRg.jpg;,Portoy,armchair-portoy,Portoy,"The ergonomic design provides ample support for your back and neck, while the contoured seat ensures a comfortable sitting experience.",basic;,Orthanc tower plastics,plastic,house
main,1,18,USD 5999,standard,armchairs,This modern metal armchair exudes a sleek and contemporary aesthetic that complements any modern or industrial-style interior.,https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--9OVAfRSA.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--fyuzeQdo.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--Cnx6bgpE.jpg;,Dana,armchair-dana,Dana,This modern metal armchair exudes a sleek and contemporary aesthetic that complements any modern or industrial-style interior.,basic;,Mordor Forges,metal,house
main,1,19,USD 7999,standard,armchairs,"The seat and backrest, upholstered in soft and supple leather, provide exceptional comfort and support. The leather's rich texture and subtle sheen add a luxurious element, making this armchair a perfect choice for both home and office environments.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--BrOKiI_K.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--iOkZRELq.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--RLqUvDSU.jpg;,Kolt,armchair-kolt,Kolt,"The seat and backrest, upholstered in soft and supple leather, provide exceptional comfort and support. The leather's rich texture and subtle sheen add a luxurious element, making this armchair a perfect choice for both home and office environments.",basic;,Mordor Forges,metal,house
main,1,20,USD 14999,standard,armchairs,"The natural wood grain is beautifully highlighted by a rich, warm finish that enhances the chair's natural beauty. The sturdy construction and robust materials guarantee exceptional durability, ensuring that this armchair will become a cherished piece in your home for years to come.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--1cS1JWOP.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--FYYWcrH5.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_16--zfB5u76S.jpg;,Poljuko,armchair-poljuko,Poljuko,"The natural wood grain is beautifully highlighted by a rich, warm finish that enhances the chair's natural beauty. The sturdy construction and robust materials guarantee exceptional durability, ensuring that this armchair will become a cherished piece in your home for years to come.",basic;,Fangorn Planks,wooden,house
main,1,21,USD 9900,standard,chairs,"This chair with leather upholstery features a sturdy frame and legs. The seat and backrest are covered in high-quality leather, which may be smooth or textured depending on the design. The leather is stretched taut over a layer of padding to provide comfort and support for the person sitting in the chair.  The chair has a high backrest making it ideal for the dining room or a study room.  Overall, a chair with leather upholstery is typically sleek and modern in design, providing a comfortable and stylish seating option for any room.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Charcoal_Chair-1.2.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Charcoal_Chair-1.1.jpeg;,Charcoal Chair,charcoal-chair,Charcoal Chair,"This chair with leather upholstery features a sturdy frame and legs. The seat and backrest are covered in high-quality leather, which may be smooth or textured depending on the design. The leather is stretched taut over a layer of padding to provide comfort and support for the person sitting in the chair.  The chair has a high backrest making it ideal for the dining room or a study room.  Overall, a chair with leather upholstery is typically sleek and modern in design, providing a comfortable and stylish seating option for any room.",basic;,Fangorn Planks,wooden,house
main,1,22,USD 19900,standard,chairs,"The Rattan Lounge Chair is designed to provide comfortable seating for relaxing and lounging. The chair features a sturdy frame made of rattan, with a woven pattern of rattan fibers forming the seat and backrest.  The chair comes with additional cushioning for extra comfort, made from soft cotton fabric. The cushions are removable, allowing for easy cleaning or replacement.  The design of the rattan lounge chair is inspired by tropical or bohemian styles, with a natural and earthy look. The chair features intricate woven patterns or geometric shapes, creating a visually interesting texture.  The rattan material used in the construction of the chair is known for its durability and resistance to wear and tear. It is also lightweight, making it easy to move the chair around the room.  Overall, a rattan lounge chair is a stylish and comfortable addition to any living room or outdoor space. Its natural materials and unique design create a relaxed and inviting atmosphere, making it the perfect place to unwind and enjoy some peace and quiet.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Rattan_Lounge_Chair-1.1.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Rattan_Lounge_Chair-1.2.jpeg;,Rattan Lounge Chair,rattan-lounge-chair,Rattan Lounge Chair,"The Rattan Lounge Chair is designed to provide comfortable seating for relaxing and lounging. The chair features a sturdy frame made of rattan, with a woven pattern of rattan fibers forming the seat and backrest.  The chair comes with additional cushioning for extra comfort, made from soft cotton fabric. The cushions are removable, allowing for easy cleaning or replacement.  The design of the rattan lounge chair is inspired by tropical or bohemian styles, with a natural and earthy look. The chair features intricate woven patterns or geometric shapes, creating a visually interesting texture.  The rattan material used in the construction of the chair is known for its durability and resistance to wear and tear. It is also lightweight, making it easy to move the chair around the room.  Overall, a rattan lounge chair is a stylish and comfortable addition to any living room or outdoor space. Its natural materials and unique design create a relaxed and inviting atmosphere, making it the perfect place to unwind and enjoy some peace and quiet.",basic;,Fangorn Planks,wooden,house
main,1,23,USD 59900,standard,chairs,"An art deco leather chair with ebony legs has a sleek, streamlined design that exudes sophistication and elegance. The chair has a comfortable padded seat and backrest, with the leather upholstery providing a soft and luxurious feel. The ebony legs are long and tapered, with a smooth finish that accentuates the chair's modern style. The chair also features distinctive art deco elements such as angular shapes, bold lines, and geometric patterns. Overall, this chair would be a striking piece of furniture that adds both style and comfort to any room.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Fawn_Armchair-1.1.jpeg;,Fawn Armchair,fawn-armchair,Fawn Armchair,"An art deco leather chair with ebony legs has a sleek, streamlined design that exudes sophistication and elegance. The chair has a comfortable padded seat and backrest, with the leather upholstery providing a soft and luxurious feel. The ebony legs are long and tapered, with a smooth finish that accentuates the chair's modern style. The chair also features distinctive art deco elements such as angular shapes, bold lines, and geometric patterns. Overall, this chair would be a striking piece of furniture that adds both style and comfort to any room.",basic;,Mordor Forges,metal,house
main,1,24,USD 7999,standard,chairs,"A modern linen and wood chair features a simple yet stylish design. The chair has a sleek wooden frame, which is stained in a natural wood finish. The seat and backrest are made of a soft linen fabric that is padded for comfort. The linen fabric is a neutral beige.  The backrest of the chair is slightly angled, providing additional comfort and support for the user. The legs of the chair are slightly tapered and have protective foot pads to prevent damage to flooring.  Overall, this modern linen and wood chair is a versatile and elegant addition to any living room, dining room, or office space.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Bruno_Chair-1.1.jpeg;,Bruno Chair,bruno-chair,Bruno Chair,"A modern linen and wood chair features a simple yet stylish design. The chair has a sleek wooden frame, which is stained in a natural wood finish. The seat and backrest are made of a soft linen fabric that is padded for comfort. The linen fabric is a neutral beige.  The backrest of the chair is slightly angled, providing additional comfort and support for the user. The legs of the chair are slightly tapered and have protective foot pads to prevent damage to flooring.  Overall, this modern linen and wood chair is a versatile and elegant addition to any living room, dining room, or office space.",basic;,Fangorn Planks,wooden,house
main,1,25,USD 15000,standard,chairs,"A lilac velvet chair with a brass frame is an elegant and luxurious piece of furniture. The soft, plush velvet material of the chair provides a comfortable and cozy seating experience. The lilac color of the velvet fabric is soft and delicate, adding a touch of femininity to the overall look of the chair.  The brass frame of the chair is sturdy and durable, providing a solid foundation for the seating area. The brass color of the frame adds a touch of warmth and sophistication to the overall look of the chair. The combination of the lilac velvet and brass frame creates a striking contrast, making this chair a statement piece in any room.  The chair features a high backrest with a curved design, providing support for the back and shoulders. The chair is designed for both style and comfort, making it a great addition to any living room, bedroom, or office space.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Rumi_Chair-1.1.jpeg,Rumi Chair,rumi-chair,Rumi Chair,"A lilac velvet chair with a brass frame is an elegant and luxurious piece of furniture. The soft, plush velvet material of the chair provides a comfortable and cozy seating experience. The lilac color of the velvet fabric is soft and delicate, adding a touch of femininity to the overall look of the chair.  The brass frame of the chair is sturdy and durable, providing a solid foundation for the seating area. The brass color of the frame adds a touch of warmth and sophistication to the overall look of the chair. The combination of the lilac velvet and brass frame creates a striking contrast, making this chair a statement piece in any room.  The chair features a high backrest with a curved design, providing support for the back and shoulders. The chair is designed for both style and comfort, making it a great addition to any living room, bedroom, or office space.",basic;,Mordor Forges,metal,house
main,1,26,USD 59900,standard,armchairs,"A minimalist chair with ottoman is a sleek and simple design that emphasizes clean lines and functionality. The ottoman is a matching piece, providing a place for the user to prop up their feet and relax. The upholstery is minimal, with neutral colors and simple patterns. The design is inspired by mid-century modern aesthetics, with a focus on simplicity and functionality. The result is a comfortable and stylish chair that fits seamlessly into a variety of interior design styles.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Slate_Armchair-1.1.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Slate_Armchair-1.2.jpeg;,Slate Armchair,slate-armchair,Slate Armchair,"A minimalist chair with ottoman is a sleek and simple design that emphasizes clean lines and functionality. The ottoman is a matching piece, providing a place for the user to prop up their feet and relax. The upholstery is minimal, with neutral colors and simple patterns. The design is inspired by mid-century modern aesthetics, with a focus on simplicity and functionality. The result is a comfortable and stylish chair that fits seamlessly into a variety of interior design styles.",basic;,Fangorn Planks,wooden,house
main,1,27,USD 29900,standard,armchairs,"A traditional armchair with a geometric pattern has a classic design with a touch of modern flair. The chair has a wooden frame and legs. The chair has a high back, providing a comfortable place to sit and relax. The cushioning is plush, offering a soft feel to the seat and backrest. The geometric pattern adds a visual interest and texture to the overall look of the chair, providing a subtle yet eye-catching element to the decor of the room.  Overall, a traditional armchair with a geometric pattern could be a great addition to a living room, study, or bedroom, offering both comfort and style to the space.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Traditional_Armchair-1.1.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Traditional_Armchair-1.3.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Traditional_Armchair-1.2.jpeg;,Traditional Armchair,traditional-armchair,Traditional Armchair,"A traditional armchair with a geometric pattern has a classic design with a touch of modern flair. The chair has a wooden frame and legs. The chair has a high back, providing a comfortable place to sit and relax. The cushioning is plush, offering a soft feel to the seat and backrest. The geometric pattern adds a visual interest and texture to the overall look of the chair, providing a subtle yet eye-catching element to the decor of the room.  Overall, a traditional armchair with a geometric pattern could be a great addition to a living room, study, or bedroom, offering both comfort and style to the space.",basic;,Fangorn Planks,wooden,house
main,1,28,USD 39900,standard,chairs,"A wooden chair with leather weave upholstery is a beautiful and functional piece of furniture that blends natural materials with a touch of luxury. The chair features a sturdy and durable wooden frame, crafted from high-quality hardwood, that provides a solid foundation for the seat and backrest.  The seat and backrest of the chair are made from a tight weave of leather strips, creating a unique and eye-catching texture that adds to the chair's overall appeal.   The chair has a simple and elegant design, with clean lines and a minimalist aesthetic that makes it easy to incorporate into a variety of interior design styles.   The legs of the chair are angled slightly outward for stability. The bottom of the legs may be fitted with protective caps to prevent scratches or damage to your floors.  Overall, a wooden chair with leather weave upholstery is a versatile and stylish piece of furniture that can add warmth, texture, and visual interest to any room. Its combination of natural materials and luxurious details makes it a popular choice for anyone looking to add a touch of sophistication and elegance to their home.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Leather_Weave_Chair-1.1.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Leather_Weave_Chair-1.2.jpeg,Leather Weave Chair,leather-weave-chair,Leather Weave Chair,"A wooden chair with leather weave upholstery is a beautiful and functional piece of furniture that blends natural materials with a touch of luxury. The chair features a sturdy and durable wooden frame, crafted from high-quality hardwood, that provides a solid foundation for the seat and backrest.  The seat and backrest of the chair are made from a tight weave of leather strips, creating a unique and eye-catching texture that adds to the chair's overall appeal.   The chair has a simple and elegant design, with clean lines and a minimalist aesthetic that makes it easy to incorporate into a variety of interior design styles.   The legs of the chair are angled slightly outward for stability. The bottom of the legs may be fitted with protective caps to prevent scratches or damage to your floors.  Overall, a wooden chair with leather weave upholstery is a versatile and stylish piece of furniture that can add warmth, texture, and visual interest to any room. Its combination of natural materials and luxurious details makes it a popular choice for anyone looking to add a touch of sophistication and elegance to their home.",basic;,Fangorn Planks,wooden,house
main,1,29,USD 29900,standard,chairs,"A tufted armless futon chair has a simple and modern design, featuring a cushioned seat and backrest with tufted details for added comfort and style. The chair lacks arms to allow for more flexibility and ease of use. The upholstery is made of durable fabric that is easy to clean and maintain. Overall, a tufted armless futon chair is a practical and stylish furniture piece that can be used in a variety of settings, such as a living room, bedroom, or home office.",https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Wilma_Chair-1.1.jpeg;https://storage.googleapis.com/merchant-center-europe/sample-data/goodstore/Wilma_Chair-1.2.jpeg;,Wilma Chair,wilma-chair,Wilma Chair,"A tufted armless futon chair has a simple and modern design, featuring a cushioned seat and backrest with tufted details for added comfort and style. The chair lacks arms to allow for more flexibility and ease of use. The upholstery is made of durable fabric that is easy to clean and maintain. Overall, a tufted armless futon chair is a practical and stylish furniture piece that can be used in a variety of settings, such as a living room, bedroom, or home office.",basic;,Mordor Forges,metal,house
